corpus,layer,v,raw,ablated,verdict,q_median
C2,21,0.9,0.27953478580648466,0.2736966266663373,fail,75.0
C2,22,0.5,0.4006697496745361,0.3807290998783596,fail,16.0
C2,22,0.75,0.2921867624016481,0.2860521676972937,fail,42.5
C2,22,0.9,0.26970966604790336,0.2667114465265916,fail,75.0
C2,23,0.5,0.38084517851664584,0.3673488744229635,fail,16.0
C2,23,0.75,0.2790253060129749,0.27133772017489644,fail,43.0
C2,23,0.9,0.2616004627766171,0.2573646690863404,fail,75.0
C2,24,0.5,0.36037724315225617,0.3399056343390977,fail,16.0
C2,24,0.75,0.2680921348370758,0.25759951263087216,fail,43.0
C2,24,0.9,0.25289579432227766,0.2474859767019138,fail,76.0
C2,25,0.5,0.34603974180677977,0.33469302295165837,fail,16.0
C2,25,0.75,0.25684700658475035,0.24786946259384685,fail,43.0
C2,25,0.9,0.24514657569779974,0.2398659342953227,fail,75.0
C2,26,0.5,0.33295006310654346,0.3124066853056549,fail,16.0
C2,26,0.75,0.2488997447027078,0.24067516220981472,fail,43.0
C2,26,0.9,0.23786647104368935,0.2343856474039498,fail,75.0
C2,27,0.5,0.3390534584264737,0.3189270398289169,fail,16.0
C2,27,0.75,0.24506078810860357,0.23640813716445602,fail,42.0
C2,27,0.9,0.23386267661351,0.228825635505422,fail,75.0
C2,28,0.5,0.3409576048841779,0.3174706516914251,fail,15.0
C2,28,0.75,0.24221664595154435,0.23331400874433836,fail,42.0
C2,28,0.9,0.22854704908372658,0.22558466910648878,fail,74.0
C2,29,0.5,0.3337850098457361,0.3235203343677344,fail,15.0
C2,29,0.75,0.23561222269246568,0.22906724183972293,fail,42.0
C2,29,0.9,0.22333403262017903,0.2199914831259871,fail,75.0
C2,30,0.5,0.3555057789979265,0.34807840088893327,fail,13.5
C2,30,0.75,0.23923146274417853,0.23381278087783747,fail,41.0
C2,30,0.9,0.2267300273626041,0.22397875384320284,fail,73.0
C2,31,0.5,0.40350811546799925,0.39190114108146845,fail,13.0
C2,31,0.75,0.2616506308237648,0.25585781417655196,fail,41.0
C2,31,0.9,0.23945721312238494,0.2376370391610351,fail,74.0
C2,32,0.5,0.4963651391783193,0.5032231125761839,fail,11.0
C2,32,0.75,0.30723977875061903,0.30953449554704315,fail,40.0
C2,32,0.9,0.26126251527752453,0.2643885112370352,fail,75.0
